ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,SubGroup
Kawki,Kawki,cauq1239,Cauqui of Cachuy,,South America,-12.72,-75.91,Aymaran,Aymara
Jaqaru,Jaqaru,jaqa1244,Jaqaru,jqr,South America,-12.74,-75.81,Aymaran,Aymara
Huancane,Huancané,,,,,-15.09,-69.57,,Aymara
Puki,Puki,,,,,-13.83,-73.48,,Aymara
Sullkatiti,Sullkatiti,,,,,-16.77,-68.71,,Aymara
Atalla,Huancavelica,huan1249,Huancavelica,,South America,-12.76,-74.87,Quechuan,Quechua
Azuay,Azuay,azua1234,Azuay Highland Quichua,,South America,-2.48,-78.97,Quechuan,Quechua
Curva,Apolobamba,apol1241,Apolo,,South America,-14.4,-68.79,Quechuan,Quechua
Apuri,Apurí-Madean-Viñac,apur1253,Apurí,,South America,-12.89,-75.81,Quechuan,Quechua
Ayacucho,Ayacucho,ayac1239,Ayacucho Quechua,quy,South America,-13.85,-74.32,Quechuan,Quechua
Huangascar,Chocos-Huangáscar,azan1238,Azángaro-Huangáscar-Chocos,,South America,-12.9,-75.83,Quechuan,Quechua
Cacra-Hongos,Cacra-Hongos,cacr1238,Cacra-Hongos,,South America,-12.81,-75.78,Quechuan,Quechua
Chetilla,Cajamarca,caja1238,Cajamarca Quechua,qvc,South America,-7.09,-78.32,Quechuan,Quechua
Chachapoyas,Chachapoyas,chac1250,Chachapoyas Quechua,quk,South America,-6.27,-77.66,Quechuan,Quechua
Yanac,Corongo,coro1247,Corongo Ancash Quechua,qwa,South America,-8.58,-77.99,Quechuan,Quechua
Cuzco,Cuzco,cusc1236,Cusco Quechua,quz,South America,-14.09,-71.77,Quechuan,Quechua
Apurimac,Eastern-Apurímac,east2551,Eastern Apurímac Quechua,qve,South America,-13.89,-73.14,Quechuan,Quechua
HuarazHuailas,Huaraz-Huailas,huai1241,Huailas,,South America,-9.52,-77.52,Quechuan,Quechua
Huallaga,Huallaga-Huánuco,hual1241,Huallaga Huánuco Quechua,qub,South America,-9.57,-75.59,Quechuan,Quechua
Imbabura,Imbabura,imba1240,Imbabura Highland Quichua,qvi,South America,-0.23,-78.26,Quechuan,Quechua
Putumayo,Colombian Inga,inga1252,Colombian Inga,inb,South America,1.17,-76.96,Quechuan,Quechua
Jauja,Jauja-Huanca,jauj1238,Jauja Wanca Quechua,qxw,South America,-11.67,-75.28,Quechuan,Quechua
Huanca,Huaylla-Huanca,huay1241,Huaylla Wanca Quechua,qvw,South America,-11.77,-75.49,Quechuan,Quechua
Inkawasi,Lambayeque,lamb1276,Lambayeque Quechua,quf,South America,-6.17,-79.47,Quechuan,Quechua
Maragua,Chuquisaca,sout2991,South Bolivian Quechua,quh,South America,-18.96,-65.78,Quechuan,Quechua
Napo,Napo ,napo1242,Napo Lowland Quechua,qvo,South America,-0.04,-76.23,Quechuan,Quechua
Troje,Chimborazo,nort3351,North Chimborazo Highland Quichua,,South America,-1.37,-78.85,Quechuan,Quechua
Pacaraos,Pacaraos,paca1245,Pacaraos Quechua,qvp,South America,-11.14,-76.73,Quechuan,Quechua
Puno,Puno,puno1238,Puno Quechua,qxp,South America,-14.61,-70.21,Quechuan,Quechua
Lamas,San Martín,sanm1289,San Martín Quechua,qvs,South America,-6.42,-76.52,Quechuan,Quechua
SanPedro,Liscay-San Pedro,sanp1258,San Pedro de Huacarpana,,South America,-13.09,-75.74,Quechuan,Quechua
Santiagueno,Santiago del Estero,sant1432,Santiago del Estero Quichua,qus,South America,-27.79,-64.25,Quechuan,Quechua
Pastaza,Pastaza,sout2990,Southern Pastaza Quechua,qup,South America,-4.79,-76.53,Quechuan,Quechua
Pocona,Cochabamba,coch1274,Cochabamba,,South America,-17.67,-65.42,Quechuan,Quechua
Lincha-Tana,Lincha-Tana,tana1291,Tana-Lincha,,South America,-12.8,-75.66,Quechuan,Quechua
Serena,Tena,tena1240,Tena Lowland Quichua,quw,South America,-0.76,-77.54,Quechuan,Quechua
Tarma,Yaru,yaru1256,Yaru Quechua,,,-11.42,-75.68,Quechuan,Quechua
Laraos,Laraos,yauy1235,Yauyos Quechua,qux,South America,-13.11,-75.77,Quechuan,Quechua
Arma,Arma,,,,,-15.42,-72.74,,Quechua
Bobonaza,Bobonaza,,,,,-1.5,-77.9,,Quechua
Chacpar,Chavín,,,,,-9.58,-77.21,,Quechua
Raimondi,Antonio Raimondi,,,,,-9.1,-77.01,,Quechua
Taquile,Taquile,,,,,-15.77,-69.68,,Quechua
Wari,Wari,,,,,-9.34,-77.17,,Quechua
CuzquenoAntiguo,Cuzqueño Antiguo,,,,,-14.09,-71.77,,Quechua
Anonimo,Anónimo,,,,,,,,Quechua
SantoTomas,Santo Tomás,,,,,,,,Quechua
Chipaya,Chipaya,chip1262,Chipaya,cap,South America,-18.74,-67.9,Uru-Chipaya,Uru-Chipaya
Iruhito,Iruhito,uruu1244,Uru,ure,South America,-16.74,-68.8,Uru-Chipaya,Uru-Chipaya
Tsimu,Ts’imu,,,,,-15.88,-69.94,,Uru-Chipaya
